Date,AAPL,FLS,GME,HRL,HSY,MSFT,SPG,SPY,TER,X
2019-03-05,43.98500061035156,44.22999954223633,12.079999923706055,42.900001525878906,110.63999938964844,112.25,175.4499969482422,279.5400085449219,40.59000015258789,22.1299991607666
2019-03-06,43.66749954223633,43.709999084472656,11.65999984741211,43.4900016784668,111.95999908447266,111.87000274658203,176.47999572753906,279.1499938964844,40.349998474121094,21.899999618530273
2019-03-07,43.467498779296875,43.06999969482422,11.5600004196167,43.4900016784668,111.63999938964844,111.4000015258789,176.1699981689453,276.8299865722656,39.7599983215332,20.440000534057617
2019-03-08,42.58000183105469,42.33000183105469,11.069999694824219,43.52000045776367,111.9800033569336,109.16000366210938,175.0,272.94000244140625,38.279998779296875,19.5
2019-03-11,43.872501373291016,42.97999954223633,10.979999542236328,42.79999923706055,110.91999816894531,110.98999786376953,175.0,275.260009765625,38.91999816894531,19.3799991607666
2019-03-12,45.0,44.13999938964844,11.279999732971191,42.939998626708984,111.54000091552734,112.81999969482422,176.27999877929688,279.05999755859375,39.58000183105469,20.209999084472656
2019-03-13,45.5625,44.869998931884766,11.539999961853027,42.52000045776367,110.4000015258789,114.12999725341797,179.0399932861328,280.4800109863281,39.79999923706055,20.549999237060547
2019-03-14,45.974998474121094,44.63999938964844,11.3100004196167,42.790000915527344,110.8499984741211,114.54000091552734,178.25999450683594,281.3699951171875,39.630001068115234,20.200000762939453
2019-03-15,46.212501525878906,44.439998626708984,10.989999771118164,42.630001068115234,110.61000061035156,115.33999633789062,179.3699951171875,280.5400085449219,39.5099983215332,19.739999771118164
2019-03-18,46.45000076293945,44.31999969482422,11.09000015258789,42.400001525878906,110.73999786376953,116.16999816894531,176.24000549316406,281.54998779296875,40.439998626708984,19.770000457763672
2019-03-19,47.087501525878906,45.61000061035156,11.069999694824219,42.54999923706055,110.4000015258789,118.08999633789062,174.2899932861328,283.510009765625,40.56999969482422,19.969999313354492
2019-03-20,46.557498931884766,45.130001068115234,10.960000038146973,42.58000183105469,109.5199966430664,117.38999938964844,173.5500030517578,282.1600036621094,40.560001373291016,20.0
2019-03-21,47.505001068115234,44.95000076293945,10.470000267028809,42.290000915527344,109.94999694824219,117.13999938964844,173.6199951171875,280.6400146484375,39.529998779296875,19.600000381469727
2019-03-22,48.834999084472656,45.54999923706055,10.649999618530273,43.150001525878906,111.5999984741211,119.5,178.25,283.2200012207031,40.33000183105469,19.969999313354492
2019-03-25,47.877498626708984,43.34000015258789,10.460000038146973,43.45000076293945,111.52999877929688,116.55999755859375,178.19000244140625,278.8699951171875,39.40999984741211,19.09000015258789
2019-03-26,47.915000915527344,44.209999084472656,10.109999656677246,44.27000045776367,112.7699966430664,118.62000274658203,178.83999633789062,280.989990234375,39.439998626708984,19.510000228881836
2019-03-27,47.1875,44.27000045776367,10.369999885559082,44.45000076293945,113.26000213623047,117.87999725341797,180.44000244140625,281.1099853515625,39.790000915527344,19.200000762939453
2019-03-28,47.23749923706055,44.130001068115234,10.359999656677246,44.029998779296875,113.5,117.44000244140625,181.35000610351562,280.3500061035156,39.369998931884766,19.170000076293945
2019-03-29,47.45750045776367,45.18000030517578,10.210000038146973,44.43000030517578,114.62000274658203,118.06999969482422,183.77999877929688,282.3900146484375,39.650001525878906,19.6200008392334
2019-04-01,47.90999984741211,45.70000076293945,10.289999961853027,44.68000030517578,114.7699966430664,118.94999694824219,182.67999267578125,284.70001220703125,40.130001068115234,19.950000762939453
2019-04-02,47.772499084472656,46.52000045776367,10.369999885559082,43.75,113.97000122070312,119.05999755859375,182.8000030517578,286.0400085449219,41.72999954223633,20.149999618530273
2019-04-03,48.3125,46.86000061035156,8.859999656677246,43.029998779296875,114.75,119.86000061035156,183.47000122070312,287.32000732421875,42.70000076293945,20.260000228881836
